Наименование;Наименование артикула;Код артикула;Валюта;Цена;Доступен для заказа;Зачеркнутая цена;Закупочная цена;В наличии;Краткое описание;Описание;Наклейка;Статус;Тип товаров;Теги;Облагается налогом;Заголовок;META Keywords;META Description;Ссылка на витрину;Адрес видео на YouTube или Vimeo;Дополнительные параметры;Производитель;Программная платформа;Тип корпуса;Кол-во SIM-карт;Размер экрана;Объем встроенной памяти;Материал;Сенсорный экран;Кол-во мегапикселов камеры;Разрешение камеры;Вес;Цвет;Изображения
Кабель USB Type-C Belkin 2.0 USB-C to microUSB-B;;;RUB;1490;1;0;0;0;;;;1;USB C;;;;;;kabel_usb_type-c_belkin_2_0_usb-c_to_microusb-b;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50045023b.jpg
!!!!!USB С;;;;;;;;;;;;1;;;;;;;10573;;;;;;;;;;;;;;;
Кабель USB Type-C Belkin 2.0 USB-С to miniUSB-B;;;RUB;1490;1;0;0;0;;;;1;USB С;;;;;;kabel_usb_type-c_belkin_2_0_usb-s_to_miniusb-b;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50045010b.jpg
!!!!3.0;;;;;;;;;;;;1;;;;;;;8619;;;;;;;;;;;;;;;
Кабель USB Type-C Belkin 3.0 USB-C to USB-A Adapter;;;RUB;1490;1;0;0;0;;;;1;3.0;;;;;;kabel_usb_type-c_belkin_3_0_usb-c_to_usb-a_adapter;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50045012b.jpg
!!!!3.1;;;;;;;;;;;;1;;;;;;;5905;;;;;;;;;;;;;;;
Кабель USB Type-C Belkin 3.1 USB-A to USB-C;;;RUB;2290;1;0;0;0;;;;1;3.1;;;;;;kabel_usb_type-c_belkin_3_1_usb-a_to_usb-c;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50045020b.jpg
Кабель USB Type-C Belkin 3.1 USB-С to microUSB-B;;;RUB;2590;1;0;0;0;;;;1;3.1;;;;;;kabel_usb_type-c_belkin_3_1_usb-s_to_microusb-b;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50045009b.jpg
Кабель USB Type-C Belkin 3.1 USB-C to USB-C;;;RUB;3990;1;0;0;0;;;;1;3.1;;;;;;kabel_usb_type-c_belkin_3_1_usb-c_to_usb-c;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50045021b.jpg
!!!Cellular Line;;;;;;;;;;;;1;;;;;;;5519;;;;;;;;;;;;;;;
Кабель для iPod, iPhone, iPad Cellular Line USBDATACTRIPH1;;;RUB;590;1;0;0;0;;;;1;Cellular Line;;;;;;kabel_dlya_ipod_iphone_ipad_cellular_line_usbdatactriph1;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50041673b.jpg
Кабель для сотового телефона Cellular Line USBDATACMICROUSBW;;;RUB;690;1;0;0;0;;;;1;Cellular Line;;;;;;kabel_dlya_sotovogo_telefona_cellular_line_usbdatacmicrousbw;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50041636b.jpg
