Наименование;Наименование артикула;Код артикула;Валюта;Цена;Доступен для заказа;Зачеркнутая цена;Закупочная цена;В наличии;Краткое описание;Описание;Наклейка;Статус;Тип товаров;Теги;Облагается налогом;Заголовок;META Keywords;META Description;Ссылка на витрину;Адрес видео на YouTube или Vimeo;Дополнительные параметры;Производитель;Программная платформа;Тип корпуса;Кол-во SIM-карт;Размер экрана;Объем встроенной памяти;Материал;Сенсорный экран;Кол-во мегапикселов камеры;Разрешение камеры;Вес;Цвет;Изображения
Apple iPhone 6S 16Gb Silver;Москва;;RUB;15000;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, iOS 10<br>экран 4.7", разрешение 1334x750<br>камера 12 МП, автофокус, F/2.2<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>вес 143 г, ШxВxТ 67.10x138.30x7.10 мм</strong></font>;;1;16Gb;;;;;;smartfon_dct_apple_iphone_6s_16gb_silver;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Apple/iPhone/6S/Silver/img.jpg
Apple iPhone 6S 16Gb Space Gray;Москва;;RUB;15000;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, iOS 10<br>экран 4.7", разрешение 1334x750<br>камера 12 МП, автофокус, F/2.2<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>вес 143 г, ШxВxТ 67.10x138.30x7.10 мм</strong></font>;;1;16Gb;;;;;;smartfon_dct_apple_iphone_6s_16gb_space_gray;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Apple/iPhone/6S/SpaceGray/img.jpg
!!!!128Gb;;;;;;;;;;;;1;;;;;;;smartfon_dct_apple_iphone_6s_128gb;;;;;;;;;;;;;;;
Apple iPhone 6S 128Gb Gold;Казань;;RUB;18500;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, iOS 10<br>экран 4.7", разрешение 1334x750<br>камера 12 МП, автофокус, F/2.2<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>вес 143 г, ШxВxТ 67.10x138.30x7.10 мм</strong></font>;;1;128Gb;;;;;;smartfon_dct_apple_iphone_6s_128gb_gold;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Apple/iPhone/6S/Gold/img.jpg
Apple iPhone 6S 128Gb Rose Gold;Казань;;RUB;18500;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, iOS 10<br>экран 4.7", разрешение 1334x750<br>камера 12 МП, автофокус, F/2.2<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>вес 143 г, ШxВxТ 67.10x138.30x7.10 мм</strong></font>;;1;128Gb;;;;;;smartfon_dct_apple_iphone_6s_128gb_rose_gold;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Apple/iPhone/6S/RoseGold/img.jpg
Apple iPhone 6S 128Gb Silver;Казань;;RUB;18500;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, iOS 10<br>экран 4.7", разрешение 1334x750<br>камера 12 МП, автофокус, F/2.2<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>вес 143 г, ШxВxТ 67.10x138.30x7.10 мм</strong></font>;;1;128Gb;;;;;;smartfon_dct_apple_iphone_6s_128gb_silver;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Apple/iPhone/6S/Silver/img.jpg
Apple iPhone 6S 128Gb Space Gray;Казань;;RUB;18500;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, iOS 10<br>экран 4.7", разрешение 1334x750<br>камера 12 МП, автофокус, F/2.2<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>вес 143 г, ШxВxТ 67.10x138.30x7.10 мм</strong></font>;;1;128Gb;;;;;;smartfon_dct_apple_iphone_6s_128gb_space_gray;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Apple/iPhone/6S/SpaceGray/img.jpg
Apple iPhone 6S 128Gb Gold;Москва;;RUB;18500;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, iOS 10<br>экран 4.7", разрешение 1334x750<br>камера 12 МП, автофокус, F/2.2<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>вес 143 г, ШxВxТ 67.10x138.30x7.10 мм</strong></font>;;1;128Gb;;;;;;smartfon_dct_apple_iphone_6s_128gb_gold;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Apple/iPhone/6S/Gold/img.jpg
Apple iPhone 6S 128Gb Rose Gold;Москва;;RUB;18500;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, iOS 10<br>экран 4.7", разрешение 1334x750<br>камера 12 МП, автофокус, F/2.2<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>вес 143 г, ШxВxТ 67.10x138.30x7.10 мм</strong></font>;;1;128Gb;;;;;;smartfon_dct_apple_iphone_6s_128gb_rose_gold;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Apple/iPhone/6S/RoseGold/img.jpg
Apple iPhone 6S 128Gb Silver;Москва;;RUB;18500;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, iOS 10<br>экран 4.7", разрешение 1334x750<br>камера 12 МП, автофокус, F/2.2<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>вес 143 г, ШxВxТ 67.10x138.30x7.10 мм</strong></font>;;1;128Gb;;;;;;smartfon_dct_apple_iphone_6s_128gb_silver;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Apple/iPhone/6S/Silver/img.jpg
